6.04E+12,0.013125485
7.08E+12,0.033023115
7.98E+12,0.061453587
8.64E+12,0.086927975
9.36E+12,0.110849806
1.01E+13,0.134616382
1.07E+13,0.157680157
1.13E+13,0.18419061
1.19E+13,0.217314957
1.25E+13,0.253420214
1.32E+13,0.287429518
1.39E+13,0.318877103
1.47E+13,0.349393154
1.55E+13,0.378046136
1.63E+13,0.404137398
1.72E+13,0.429064242
1.82E+13,0.454689737
1.92E+13,0.479383698
2.02E+13,0.504077658
2.13E+13,0.528538735
2.25E+13,0.553465579
2.37E+13,0.576995122
2.50E+13,0.599360246
2.64E+13,0.620560953
2.78E+13,0.645410169
3.01E+13,0.671816092
3.26E+13,0.695116901
3.53E+13,0.715312594
3.82E+13,0.736129311
4.14E+13,0.756325004
4.54E+13,0.778308214
4.99E+13,0.800446679
5.40E+13,0.820642372
5.93E+13,0.840762513
6.68E+13,0.860669444
7.83E+13,0.881294559
9.56E+13,0.901154054
1.21E+14,0.923082457
1.60E+14,0.941206262
2.15E+14,0.955817716
2.88E+14,0.966448977
3.86E+14,0.975471224
5.22E+14,0.985878319
6.02E+14,0.99388087
7.69E+14,0.993941627
1.03E+15,0.996104394
1.38E+15,0.99751911
1.85E+15,0.998849142
2.48E+15,1.000094488